format,bits,family,distribution,SQNR_dB,MSE,KL_div,MaxAE,EffBits
FP16,8,Log-Normal,LogNorm(σ=1.0),71.6224,0.0,0.005646,0.0069,11.8962
SQ-Format-INT,8,Log-Normal,LogNorm(σ=1.0),33.962,0.001683,0.452131,0.1248,5.641
SQ-Format-FP,8,Log-Normal,LogNorm(σ=1.0),27.6314,0.007231,5.830777,1.4793,4.5895
INT8(T),8,Log-Normal,LogNorm(σ=1.0),28.9856,0.005294,16.789832,0.1249,4.8144
INT8(C),8,Log-Normal,LogNorm(σ=1.0),33.5612,0.001846,0.512591,0.1249,5.5744
HAD+INT8(T),8,Log-Normal,LogNorm(σ=1.0),29.0732,0.005188,0.126075,0.2913,4.829
HAD+INT8(C),8,Log-Normal,LogNorm(σ=1.0),34.3052,0.001555,0.086604,0.2077,5.698
MXINT8,8,Log-Normal,LogNorm(σ=1.0),35.4157,0.001204,0.283743,0.1246,5.8824
MXFP8,8,Log-Normal,LogNorm(σ=1.0),26.9861,0.00839,5.836649,1.9178,4.4823
FP16,8,Log-Normal,LogNorm(σ=2.0),72.9174,3.8e-05,0.005749,0.1119,12.1113
SQ-Format-INT,8,Log-Normal,LogNorm(σ=2.0),34.2472,0.277345,0.084951,3.8657,5.6883
SQ-Format-FP,8,Log-Normal,LogNorm(σ=2.0),28.1645,1.125375,0.533948,33.5569,4.678
INT8(T),8,Log-Normal,LogNorm(σ=2.0),24.2789,2.753296,7.220969,3.9882,4.0326
INT8(C),8,Log-Normal,LogNorm(σ=2.0),34.1917,0.280913,0.09108,3.94,5.6791
HAD+INT8(T),8,Log-Normal,LogNorm(σ=2.0),39.4213,0.084259,0.01289,1.0918,6.5477
HAD+INT8(C),8,Log-Normal,LogNorm(σ=2.0),43.2317,0.03504,0.017892,1.0918,7.1806
MXINT8,8,Log-Normal,LogNorm(σ=2.0),36.3141,0.17232,0.073723,3.793,6.0316
MXFP8,8,Log-Normal,LogNorm(σ=2.0),27.4802,1.317401,0.539469,33.5569,4.5644
FP16,8,Uniform,Uniform(±1.0),74.6231,0.0,0.0006,0.0002,12.3946
