format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits,enc_data_bits_per_element,enc_metadata_bits_per_element,dist_type,dist_sigma,enc_bandwidth_amplification,enc_dense_bits,enc_sparse_bits,enc_sparsity_ratio,dist_b,dist_nu,dist_mu1,dist_mu2,dist_outlier_ratio,dist_outlier_sigma,dist_n_outlier_channels,dist_spike_ratio,dist_spike_multiplier,dist_n_spikes,dist_mu
HAD+INT8(C),Student-t(ν=3),8,0.019299340967469967,20.191069207280457,1.9012424266653762,0.41018471121788025,3.3536640032740026,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
HAD+INT4(T),Student-t(ν=3),4,0.04920410641217507,16.126480506691365,2.680444085358653,0.6951746940612793,2.678550433341572,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
HAD+INT8(T),Student-t(ν=3),8,0.019299340967469967,20.191069207280457,1.9012424266653762,0.41018471121788025,3.3536640032740026,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
HAD+SQ,Student-t(ν=3),4,0.03923344855181418,17.109929161956813,2.0677772648776678,0.6365809440612793,2.8418977192318464,5.04,1.0,student_t,,1.26,4.0,8.0,0.01,,3.0,,,,,,,,,
HAD+LUT4,Student-t(ν=3),4,0.0455102061483568,16.465405969898125,1.5752363560816969,0.656043291091919,2.734844734256534,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
RandRot+INT4,Student-t(ν=3),4,0.024757928524073502,19.109350949329293,2.0080579377956003,0.5034400522708893,3.1739944896819736,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
RandRot+INT8,Student-t(ν=3),8,0.001457219788833247,31.41124339465822,0.8125741182397238,0.1567479968070984,5.217294596403011,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
SmoothQuant+INT4,Student-t(ν=3),4,0.06765130463619118,14.74373223471674,23.20999429275944,0.4505878686904907,2.448880916700099,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
SmoothQuant+INT8,Student-t(ν=3),8,0.00019842882349267716,40.07044642323854,1.2425638204684053,0.024800777435302734,6.655557087401747,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
HAD+INT4,Student-t(ν=3),4,0.04920410641217507,16.126480506691365,2.680444085358653,0.6951746940612793,2.678550433341572,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
HAD+INT8,Student-t(ν=3),8,0.019299340967469967,20.191069207280457,1.9012424266653762,0.41018471121788025,3.3536640032740026,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
FP32,Student-t(ν=5),32,0.0,inf,0.0,0.0,inf,32.0,0.0,student_t,,,,,,,5.0,,,,,,,,,
BF16,Student-t(ν=5),16,1.7715491678900802e-05,50.321594473027034,0.09432564331971836,0.03266620635986328,8.358235922973856,16.0,0.0,student_t,,,,,,,5.0,,,,,,,,,
INT4,Student-t(ν=5),4,0.3231526972201382,7.711048724774566,24.264921268612767,0.9985705614089966,1.2807774699936998,4.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
INT8,Student-t(ν=5),8,0.08851571673923805,13.334922672991496,0.29581876659476414,6.720166206359863,2.2148827135280467,8.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
MXINT4,Student-t(ν=5),4,0.07787243103368288,13.891289248447457,18.189701650562696,1.6967878341674805,2.3072932014312175,4.0,0.25,student_t,,1.0625,,,,,5.0,,,,,,,,,
MXINT8,Student-t(ν=5),8,0.11658586060283957,12.138667747367553,1.044534173251635,6.720166206359863,2.0161890712241686,8.0,0.25,student_t,,1.03125,,,,,5.0,,,,,,,,,
MXFP4,Student-t(ν=5),4,0.084776402084316,13.52237676486352,15.892571760347552,2.6576662063598633,2.24601816424261,4.0,0.25,student_t,,1.0625,,,,,5.0,,,,,,,,,
MXFP8,Student-t(ν=5),8,0.05085985131208856,15.741375714363091,4.885767921739931,1.6967878341674805,2.6145859118860186,8.0,0.25,student_t,,1.03125,,,,,5.0,,,,,,,,,
NVFP4,Student-t(ν=5),4,0.09889995031400664,12.853165842117358,23.14784336505216,2.6576662063598633,2.1348646359588117,4.0,0.0,student_t,,,,,,,5.0,,,,,,,,,
NF4,Student-t(ν=5),4,0.13098945397731862,11.632763258155327,23.51439677935361,0.6837368011474609,1.9321601544219815,4.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
FP6,Student-t(ν=5),6,0.0034732090330253417,27.39781735772208,8.083896849272033,0.2640981674194336,4.5506789609604805,6.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
SQ-Format,Student-t(ν=5),4,0.1086081163782355,12.446503759584148,21.284745000062188,6.720166206359863,2.067319526104188,5.04,1.0,student_t,,1.26,4.0,8.0,0.01,,5.0,,,,,,,,,
HAD+INT4(C),Student-t(ν=5),4,0.04255680822689121,16.515436093305425,0.9596182558466368,0.7826662063598633,2.7431545578834036,4.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
HAD+INT8(C),Student-t(ν=5),8,0.016341136990206652,20.672303868613643,1.1618000193278573,0.3959474563598633,3.433595350359818,8.0,0.0,student_t,,1.0,,,,,5.0,,,,,,,,,
